DISTRICT,ACTIVITY,DATE,RATINGS,PARTY,ASSEMBLY
Tiruppur,"Tirupur Southern District Secretary Nos. Padmanabhan, Madathukulam MLA Mr. R. Jayaramakrishnan provided relief items to Elayamuthur Panchayat Cleaners and 1000 poor and simple families. #DMKTiruppur #OndrinaivomVaa",01-05-2020,4.24,DMK,MADATHUKULAM
Tiruppur,"Southern District Secretary Mr. Ila Padmanabhan, on the orders of the Chairman of the Association, distributed rice, vegetable and groceries to 1600 poor, simple families at the Tarapuram Union, Thoppampatti Panchayat organized by Union Youth Organizer Mr. Balu. #DMKTiruppur #OndrinaivomVaa",01-05-2020,4.58,DMK,Unassigned
Tiruppur,"Southern District Secretary Mr. Ila Padmanabhan, at the behest of the Chairman of the Association, provided essential commodities including rice and vegetable for a month to the poor and humble people of Udumalaipettai. #DMKTiruppur #OndrinaivomVaa",01-05-2020,2.83,DMK,UDUMALAIPETTAI
Tiruppur,"On the order of the Chairman of the Association, Mr. K Selvaraj, the District Secretary of Tirupur, Mr. TKT Nagaraj, Municipal Secretary, Mr. SR Palanisamy, in charge of the Union, distributed 5 kg of rice to 91 families in Adithiravadi Colony. #DMKTiruppur #OndrinaivomVaa",01-05-2020,2,DMK,Unassigned
Tiruppur,"On the advice of the Chairman of the Association, Tirupur Southern District Secretary, Mr. Ila Padmanabhan, the Chairman of the Gundadam Univision Area, Mr. TMP Saminathan presented the rice bags and food items. #DMKTiruppur #OndrinaivomVaa",01-05-2020,2.83,DMK,TIRUPPUR (SOUTH)
Tiruppur,"Mr. Tupkselvaraj, Northern District Secretary, on the orders of the Chairman of the Association, presented the rice and vegetables to the transgender people of JJ Nagar under the arrangement of Mr. E. Thangaraj, MLA Organizer, in the presence of the Municipal Trustee, Mr.TKDMNagarasan. #DMKTiruppur #OndrinaivomVaa",01-05-2020,2.83,DMK,Unassigned
Tiruppur,"Mr. Tupkselvaraj, District Secretary of the Northern Province, on the orders of the Chairman of the Association, presented rice and vegetables to the people of Srividya Nagar in the presence of the Municipal Trustee Mr. Nagarasan. #DMKTiruppur #OndrinaivomVaa",01-05-2020,2.83,DMK,Unassigned
Tiruppur,"Member of the 27th Roundtable Committee, Mr. M. Thirunavukkarasu, presented the rice and vegetables to the public near Digis Petrol Punk. (2/2) #DMKTiruppur #OndrinaivomVaa",01-05-2020,2.83,DMK,Unassigned
Nilgiris,"On the orders of the Chairman of the Association, the District Secretary of Nilgiris, Mr. PB Mubarak distributed food and other essential commodities to the tea plantation workers in the Coonoor area and the Northern Territory workers. #DMKNilgiris #OndrinaivomVaa",01-05-2020,2.83,DMK,COONOOR
Tiruppur,"Under the direction of the Chairman of the Association, Tirupur (Southern) District Secretary, Mr. Ila Padmanabhan, Member of the Higher Level Executive Committee of the Corporation, Mr. M.P.Saminathan presented a bag of rice to the poor and needy people in the city of Velakovil for a week. #DMKTiruppur #OndrinaivomVaa",02-05-2020,2.83,DMK,TIRUPPUR (SOUTH)
Tiruppur,"Under the direction of the Chairman of the Association, Thiruppuram (The) MK Thiru Illa Padmanabhan, under the guidance of Padimangalam OC Thiru Ponnu Murugesan, Padrakali Budur Branch Secretary Mr. Durai arranged a 5 kg vegetable package. #DMKTiruppur #OndrinaivomVaa",02-05-2020,2.83,DMK,Unassigned
Tiruppur,"On the orders of the Chairman of the Corporation, Northern District Secretary Mr. K. Selvaraj presented the rice and groceries to the public in the presence of the Municipal Trustee Mr.K.Kanesan and Mr.WDTranaraj in the presence of the Municipal Trustee Mr.TKDM.Nagarasan. #DMKTiruppur #OndrinaivomVaa",02-05-2020,2.83,DMK,Unassigned
Tiruppur,"On the orders of the Chairman of the Association, the high-level Executive Committee Member of the Corporation, Mr. M.B.Saminathan distributed rice bags and food items to poor people in the Union and Urban areas of Tirupur Southern District. #DMKTiruppur #OndrinaivomVaa",02-05-2020,2.83,DMK,TIRUPPUR (SOUTH)
Tiruppur,"On the advice of the Chairman of the Association, Tirupur Southern District Secretary, Mr. Ila Padmanabhan, on behalf of Kanniwadi Perur Corporation, provided food for the clean staff and the poor. #DMKTiruppur #OndrinaivomVaa",02-05-2020,2.83,DMK,TIRUPPUR (SOUTH)
Tiruppur,"On the advice of the Chairman of the Association, Southern District Secretary Mr. Ila Padmanabhan, in the presence of Tarapuram City Secretary Mr. KS Tanasekar, Mr. Sakthivel, Deputy Secretary, provided essential supplies to 400 families in the 19th Ward. #DMKTiruppur #OndrinaivomVaa",02-05-2020,3.16,DMK,Unassigned
Tiruppur,Supply of rice to 300 families in Thiruppur Municipal District 26th Ward,02-05-2020,2.83,TMC,Unassigned
Erode,Elderly and simple people were provided with breakfast Kapasurakudu water and mouth watering for 300 persons in Erode North ,02-05-2020,2.83,TMC,PERUNDURAI
Tiruppur,"Thiruvananthapuram District Secretary Mr.K.Selvaraj, under the direction of the Chairman of the Corporation, headed by Mr.No Rajendra Kumar, Urban Council, in the presence of BK Nagarasan and OCSKrishnamurthy. In the arrangement of CJadheesh, rice was distributed to 500 families at Pachapalayam #OndrinaivomVaa",03-05-2020,3.46,DMK,Unassigned
Tiruppur,"The Chairman of the Association, Thirupur District Secretary, Mr. K. Selvaraj, presented the essential commodities to the public at Kodikambam in the presence of the Municipal Trustee, Mr.TKDM Nagarasan. #DMKTiruppur #OndrinaivomVaa",03-05-2020,2.83,DMK,Unassigned
