DISTRICT,ACTIVITY,DATE,RATINGS,PARTY,ASSEMBLY
Chennai,"Provided Harbor Assembly Constituency, 57A (W) 150 Poor families with rice, pulses, oil, bread, biscuits and disinfectants",01/05/2020,2,DMK,HARBOUR
Chennai,Autodrivers were given rice and groceries in villivakkam,01/05/2020,2,TMC,VILLIVAKKAM
Chennai,"1000 families in Aranganathan street of Virugambakkam constituency, distributed rice, groceries and vegetables.",02/05/2020,3,AIADMK,VIRUGAMPAKKAM
Chennai,"Provided 430 families Essential grocery items such as rice, Grocery, oil in Harbour constituency",02/05/2020,2,DMK,HARBOUR
Chennai,Rice given to 72th ward people in chennai,02/05/2020,2,TMC,THIRU-VI-KA-NAGAR
Chennai,"The 50 families of visually impaired people who were affected by the curfew were happily supplying rice, groceries and vegetables for two weeks worth of Rs.50000 in tirunindravur",04/05/2020,1,NTK,AVADI
Chennai,"Zonal wise corona prevention work in Chennai accelerated, 4,000 bed hospitals in Chennai ready",05/05/2020,3.46 ,AIADMK,No Data
Chennai,They are feeding 7 lakh people per day through the AMMA Unavagam,05/05/2020,8.94 ,AIADMK,No Data
Chennai,"CRPF who died at the border , the family was given Rs.20 Lakhs from CM fund and Govt job to one of them in family",05/05/2020,1,AIADMK,No Data
Chennai,"500 families in Virugambakkam constituency, distributed 5 kg rice, groceries and vegetables.",06/05/2020,2.45 ,AIADMK,VIRUGAMPAKKAM
Chennai,"250 families in 54th ward of harbour were provided with rice, groceries by MLA Balanga",07/05/2020,2,AIADMK,HARBOUR
Chennai,"Provided 3000 people including rice, groceries, vegetables and sanitizers, including transgender people, auto drivers, under the ""Ondrinaivom Vaa"".",07/05/2020,3,DMK,No Data
Chennai,"Provides essential grocery items such as rice, lentils and oil to the poor simple families residing in the Harbour",07/05/2020,2,DMK,HARBOUR
Chennai,"600 families were given Rice, Dals, Oil,sanitiser and mask were given in egmore constituency",07/05/2020,2.45 ,DMK,EGMORE
Chennai,"500 families in Virugambakkam constituency, distributed 5 kg rice, groceries and vegetables.",08/05/2020,2.45 ,AIADMK,VIRUGAMPAKKAM
Chennai,Rs.50 lakhs were given as relief fund from CM relief aid to Mr.Seat police who died while in job and govt job to anyone in family,08/05/2020,1,AIADMK,No Data
Chennai,Distributed 5 kg of rice bags to five thousand and 1250 bags each to the district organizers of Chennai.,08/05/2020,3,DMK,THOUSAND LIGHTS
Chennai,Provisions were given to chennai west region 131 ward peoples,08/05/2020,2,TMC,VIRUGAMPAKKAM
Chennai,The Government of Tamil Nadu will accept the rail fare for the Migrant worker to go back to their hometown. Funds for this will be allocated from the State Disaster Relief Fund 1100 passengers Rs.1000 each and totally 11lakhs,09/05/2020,3,AIADMK,No Data
Chennai,"In RK nagar 41, 42 ward booth executives were given Rice, groceries oil and 8 items as relief aid",09/05/2020,2,AIADMK,DR.RADHAKRISHNAN NAGAR
Chennai,"7500 families, rice and groceries were distributed among the district executives in the presence of Forum Secretary Babu, Deputy Secretary Kaleem and Rajkumar.",09/05/2020,3.46 ,DMK,No Data
Chennai,"Through their #OndrinaivomVaa, the Villivakkam Police works for COVID has given Sanitizer the necessary facial shield for Corporal Special Guard.",09/05/2020,1,DMK,VILLIVAKKAM
Chennai,"Provided 300 executives of the Villivakkam Western Region, 25kg of rice and groceries.",09/05/2020,2,DMK,VILLIVAKKAM
Chennai,"Provided 300 executives of the Kolathur Region, 25kg of rice and groceries.",09/05/2020,2,DMK,KOLATHUR
Chennai,"Provided, 100 pregnant women from the harbor donated Rs2,000 each with rice, groceries and fruits",09/05/2020,2,DMK,HARBOUR
Chennai,Provided breakfast and breakfast with rice and groceries for the children of the Seva Samaj of Egmore.,09/05/2020,2,DMK,EGMORE
Chennai,Provided breakfast to 70 North State workers in Thiruvika with clothes and blankets.,09/05/2020,1,DMK,THIRU-VI-KA-NAGAR
Chennai,Provided financial assistance for 5 kg of rice and groceries to 200 people from the Kolathur area,09/05/2020,2,DMK,KOLATHUR
Chennai,#Modikit was provided to the people of the area with essential commodities in the Retteri of Chennai West District and Kathivakkam in North Chennai East District,10/05/2020,2,BJP TN,TIRUVOTTIYUR
Chennai,"@Murugan_TNBJP On instructions, BJP women's team executives have been working on Mukasavasam in various parts of the country, so far, around 35 lakhs have been issued on behalf of the BJP across Tamil Nadu!",10/05/2020,10 ,BJP TN,No Data
Chennai,"Provided Financial assistance to 300 executives of the Kolathur West Region Corporation, 25 kg of rice and groceries.",10/05/2020,2,DMK,KOLATHUR
Chennai,#Seeman provided essential commodities including rice and lentils for a month to the families of 50 Eelam natives living in the Chennai area valasaravakkam,10/05/2020,1,NTK,MADURAVOYAL
Chennai,"14 vehicles equipped with state-of-the-art X-ray equipment"" for rapid detection of heart infections and Covid-borne infections worth Rs.5.48 crores has come to now for people use",11/05/2020,4.47 ,AIADMK,No Data
Chennai,"South chennai west zone 174 ward 500 members were given rice, vegetables and groceries by Virugai Ravi",11/05/2020,2.45 ,AIADMK,VIRUGAMPAKKAM
Chennai,"In RK nagar 245 families of booth committe executives were given Rice, Dal, groceries by MLA Rajesh",11/05/2020,2,AIADMK,DR.RADHAKRISHNAN NAGAR
Chennai,"Provided rice, groceries, vegetables and financial assistance to the people of Kolathur, Ports, Tiru-vi-ka nagar, Egmore",11/05/2020,2,DMK,KOLATHUR
Chennai,"Bhattacharyas, Priests, Archbishops, Priests, Saints, Bandaras, Ears, Potters has been given additional Rs.1000 Cash relief",12/05/2020,2,AIADMK,No Data
Chennai,In RK nagar 41th circle Sunami resisdance 650 families were given relief aid by mla Rajesh,12/05/2020,2.45 ,AIADMK,DR.RADHAKRISHNAN NAGAR
Chennai,"News about homeless pregnant woman leaving home @PTTVOnlineNews MLA Arvind Ramesh, who met the woman in person, offered 3 months rent and groceries",12/05/2020,1,DMK,No Data
Chennai,"Relief aid was given tofamilies in theKolathur,Villivakkam,Harbour",12/05/2020,2,DMK,KOLATHUR
Chennai,In RK nagar 41th circle Sunami resisdance 500 families were given relief aid by mla Rajesh,13/05/2020,2.45 ,AIADMK,DR.RADHAKRISHNAN NAGAR
Chennai,"Provided Essential grocery items such as rice, Grocery, oil in Thousand Light constituency",13/05/2020,2,DMK,THOUSAND LIGHTS
Chennai,A family of 55 workers along Bharathidasan Road was provided with food essentials,13/05/2020,1,TMC,VIRUGAMPAKKAM
Chennai,Provided welfare assistance to 100 families.,13/05/2020,2,TMC,No Data
Chennai,"1000 families in new washermenpet constituency, distributed 5 kg rice, 2kg wheat flour and Masks by MLA Rajesh",14/05/2020,3,AIADMK,ROYAPURAM
Chennai,"2500 families in MGR nagar constituency, distributed Rice, groceries by MLA Ravi",14/05/2020,3,AIADMK,VIRUGAMPAKKAM
Chennai,The 26 L people residing in slum will be given each 2 masks and totally 52 Lakh mask will be provided,14/05/2020,10 ,AIADMK,No Data
Chennai,"760 people were given Rice and grocery , Rs. 500 funded with rice and groceries for 118 barbers and Person with Disablities",14/05/2020,2,DMK,No Data
Chennai,"Abhiyanaya, a student of the institute, which has been set up by the Vice Secretary of the Vidyalaya for the benefit of the disadvantaged student who wants to take the IAS exam, gave a smart phone to read online. Congratulations to Abhinaya",14/05/2020,1,DMK,No Data
Chennai,"Provided rice, groceries and vegetables to 650 persons including a cleaning worker, a transporter and a temple priest. Chennai North General Secretary Sudarsanam MLA, Dr. Dr. Veerachami MP and many others were present.",14/05/2020,2.45 ,DMK,No Data
Chennai,"1000 families of Virugambakkam constituency, distributed rice, groceries and vegetables.",14/05/2020,3,DMK,VIRUGAMPAKKAM
Chennai,"Provided 20 varieties of groceries, rice and masks to the Prabhakarraja Organizer, Chennai South, for the 3024 family, including auto driver, transgender, laundry and hairdresser.",14/05/2020,3,DMK,No Data
Chennai,"Provided rice, groceries and vegetables to 610 alternates of Kannaki Nagar, mostly Semmenjeri town.",14/05/2020,2.45 ,DMK,THIRUPORUR
Chennai,"Provided Rice, vegetables, groceries and more than 1000 people attending the event held at the Welfare Marriage Hall in Royapettah and Financial assistance of Rs. 2000 each to 15 associates",14/05/2020,4.90 ,DMK,MYLAPORE
Chennai,"1.2 crores of high quality, low cost face masks have been prepared and distributed by the Women Self Help Groups & Various Self Employment Training Institutes. It has also been ordered to manufacture and provide an additional 1crore mask",15/05/2020,10,AIADMK,No Data
