DISTRICT,ACTIVITY,DATE,RATING,PARTY,ASSEMBLY
CHENNAI,"Provided Harbor Assembly Constituency, 57A (W) 150 Poor families with rice, pulses, oil, bread, biscuits and disinfectants","Friday, May 01, 2020",2,DMK,HARBOUR
CHENNAI,Autodrivers were given rice and groceries in villivakkam,"Friday, May 01, 2020",2,TMC,VILLIVAKKAM
CHENNAI," 1000 families in Aranganathan street of Virugambakkam constituency, distributed rice, groceries and vegetables. ","Saturday, May 02, 2020",3,ADMK,VIRUGAMPAKKAM
CHENNAI,"Provided 430 families  Essential grocery items such as rice, Grocery, oil in Harbour constituency","Saturday, May 02, 2020",2,DMK,HARBOUR
CHENNAI,Rice given to 72th  ward people in chennai ,"Saturday, May 02, 2020",2,TMC,THIRU-VI-KA-NAGAR
CHENNAI,"The 50 families of visually impaired people who were affected by the curfew were happily supplying rice, groceries and vegetables for two weeks worth of Rs.50000 in tirunindravur","Monday, May 04, 2020",1,NTK,AVADI
CHENNAI,"Zonal wise corona prevention work in Chennai accelerated, 4,000 bed hospitals in Chennai ready","Tuesday, May 05, 2020",3.46 ,ADMK,No Data
CHENNAI,They are feeding 7 lakh people per day through the AMMA Unavagam,"Tuesday, May 05, 2020",8.94 ,ADMK,No Data
CHENNAI,"CRPF who died at the border , the family was given Rs.20 Lakhs from CM fund and Govt job to one of them in family","Tuesday, May 05, 2020",1,ADMK,No Data
CHENNAI,"500 families in Virugambakkam constituency, distributed 5 kg rice, groceries and vegetables. ","Wednesday, May 06, 2020",2.45 ,ADMK,VIRUGAMPAKKAM
CHENNAI,"250 families in 54th ward of harbour  were provided with rice, groceries by MLA Balanga","Thursday, May 07, 2020",2,ADMK,HARBOUR
CHENNAI,"Provided 3000 people including rice, groceries, vegetables and sanitizers, including transgender people, auto drivers, under the ""Ondrinaivom Vaa"".","Thursday, May 07, 2020",3,DMK,No Data
CHENNAI,"Provides essential grocery items such as rice, lentils and oil to the poor simple families residing in the Harbour","Thursday, May 07, 2020",2,DMK,HARBOUR
CHENNAI,"600 families were given Rice, Dals, Oil,sanitiser and mask were given in egmore constituency","Thursday, May 07, 2020",2.45 ,DMK,EGMORE
CHENNAI,"500 families in Virugambakkam constituency, distributed 5 kg rice, groceries and vegetables. ","Friday, May 08, 2020",2.45 ,ADMK,VIRUGAMPAKKAM
CHENNAI,Rs.50 lakhs were given as relief fund from CM relief aid to Mr.Seat police  who died while in job and govt job to anyone in family,"Friday, May 08, 2020",1,ADMK,No Data
CHENNAI,Distributed 5 kg of rice bags to five thousand and 1250 bags each to the district organizers of Chennai.,"Friday, May 08, 2020",3,DMK,THOUSAND LIGHTS
CHENNAI,Provisions were given to chennai west region 131 ward peoples,"Friday, May 08, 2020",2,TMC,VIRUGAMPAKKAM
CHENNAI,The Government of Tamil Nadu will accept the rail fare for the Migrant worker to go back to their hometown. Funds for this will be allocated from the State Disaster Relief Fund 1100 passengers Rs.1000 each and totally 11lakhs,"Saturday, May 09, 2020",3,ADMK,No Data
CHENNAI,"In RK nagar 41, 42 ward booth executives were given Rice, groceries oil and 8 items as relief aid","Saturday, May 09, 2020",2,ADMK,DR.RADHAKRISHNAN NAGAR
CHENNAI,"7500 families, rice and groceries were distributed among the district executives in the presence of Forum Secretary Babu, Deputy Secretary Kaleem and Rajkumar.","Saturday, May 09, 2020",3.46 ,DMK,No Data
CHENNAI,"Through their #OndrinaivomVaa, the Villivakkam Police works for COVID has given Sanitizer the necessary facial shield for Corporal Special Guard.","Saturday, May 09, 2020",1,DMK,VILLIVAKKAM
CHENNAI,"Provided 300 executives of the Villivakkam Western Region, 25kg of rice and groceries.","Saturday, May 09, 2020",2,DMK,VILLIVAKKAM
CHENNAI,"Provided 300 executives of the Kolathur  Region, 25kg of rice and groceries.","Saturday, May 09, 2020",2,DMK,KOLATHUR
CHENNAI,"Provided, 100 pregnant women from the harbor donated Rs2,000 each with rice, groceries and fruits","Saturday, May 09, 2020",2,DMK,HARBOUR
CHENNAI, Provided breakfast and breakfast with rice and groceries for the children of the Seva Samaj of Egmore.,"Saturday, May 09, 2020",2,DMK,EGMORE
CHENNAI,"
Provided breakfast to 70 North State workers in Thiruvika with clothes and blankets.","Saturday, May 09, 2020",1,DMK,THIRU-VI-KA-NAGAR
CHENNAI,Provided financial assistance for 5 kg of rice and groceries to 200 people from the Kolathur area,"Saturday, May 09, 2020",2,DMK,KOLATHUR
CHENNAI,#Modikit was provided to the people of the area with essential commodities in the Retteri  of Chennai West District and Kathivakkam in North Chennai East District,"Sunday, May 10, 2020",2,BJP,TIRUVOTTIYUR
CHENNAI,"@Murugan_TNBJP On instructions, BJP women's team executives have been working on Mukasavasam in various parts of the country, so far, around 35 lakhs have been issued on behalf of the BJP across Tamil Nadu!","Sunday, May 10, 2020",10 ,BJP,No Data
